Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-07-26 13:57:10.903,-1.13808,-0.63598
Serial Number:,MY60101365,,2022-07-26 13:57:11.403,-1.30544,-0.66946
Firmware Version:,07.31.2020012900,,2022-07-26 13:57:11.904,-1.23849,-0.7364
Start Time:,2022-07-26 13:57:10.903,,2022-07-26 13:57:12.403,-1.23849,-0.66946
Stop Time:,2022-07-26 14:07:10.902,,2022-07-26 13:57:12.904,-1.22176,-0.7364
Sample Period:,0.5,,2022-07-26 13:57:13.403,-1.42259,-0.7364
,,,2022-07-26 13:57:13.903,-1.2887,-0.80335
,,,2022-07-26 13:57:14.403,-1.23849,-0.7364
,,,2022-07-26 13:57:14.904,-1.1046,-0.93724
,,,2022-07-26 13:57:15.404,-1.32218,-0.71967
,,,2022-07-26 13:57:15.903,-1.37238,-0.71967
,,,2022-07-26 13:57:16.404,-1.22176,-0.75314
,,,2022-07-26 13:57:16.903,-1.2887,-0.76987
,,,2022-07-26 13:57:17.404,-1.37238,-0.7364
,,,2022-07-26 13:57:17.902,-1.23849,-0.70293
,,,2022-07-26 13:57:18.402,-1.18828,-0.56904
,,,2022-07-26 13:57:18.902,-1.12134,-0.7364
,,,2022-07-26 13:57:19.402,-1.25523,-0.76987
,,,2022-07-26 13:57:19.903,-1.17155,-0.76987
,,,2022-07-26 13:57:20.403,-1.18828,-0.71967
,,,2022-07-26 13:57:20.904,-1.2887,-0.75314
,,,2022-07-26 13:57:21.402,-1.17155,-0.90377
,,,2022-07-26 13:57:21.902,-1.20502,-0.76987
,,,2022-07-26 13:57:22.402,-1.2887,-0.90377
,,,2022-07-26 13:57:22.902,-1.2887,-0.71967
,,,2022-07-26 13:57:23.402,-1.33891,-0.75314
,,,2022-07-26 13:57:23.902,-1.33891,-0.7364
,,,2022-07-26 13:57:24.404,-1.23849,-0.70293
,,,2022-07-26 13:57:24.904,-1.30544,-0.83682
,,,2022-07-26 13:57:25.403,-1.23849,-0.76987
,,,2022-07-26 13:57:25.903,-1.15481,-0.71967
,,,2022-07-26 13:57:26.403,-1.33891,-0.71967
,,,2022-07-26 13:57:26.902,-1.30544,-0.78661
,,,2022-07-26 13:57:27.403,-1.20502,-0.82008
,,,2022-07-26 13:57:27.902,-1.23849,-0.7364
,,,2022-07-26 13:57:28.402,-1.32218,-0.60251
,,,2022-07-26 13:57:28.903,-1.27197,-0.68619
,,,2022-07-26 13:57:29.404,-1.37238,-0.7364
,,,2022-07-26 13:57:29.902,-1.30544,-0.61925
,,,2022-07-26 13:57:30.403,-1.38912,-0.63598
,,,2022-07-26 13:57:30.903,-1.23849,-0.83682
,,,2022-07-26 13:57:31.403,-1.23849,-0.75314
,,,2022-07-26 13:57:31.904,-1.15481,-0.5523
,,,2022-07-26 13:57:32.404,-1.27197,-0.7364
,,,2022-07-26 13:57:32.904,-1.45607,-0.68619
,,,2022-07-26 13:57:33.403,-1.30544,-0.65272
,,,2022-07-26 13:57:33.903,-1.23849,-0.80335
,,,2022-07-26 13:57:34.403,-1.30544,-0.75314
,,,2022-07-26 13:57:34.903,-1.23849,-0.61925
,,,2022-07-26 13:57:35.403,-1.18828,-0.7364
,,,2022-07-26 13:57:35.903,-1.27197,-0.76987
,,,2022-07-26 13:57:36.403,-1.25523,-0.71967
,,,2022-07-26 13:57:36.903,-1.17155,-0.78661
,,,2022-07-26 13:57:37.403,-1.27197,-0.66946
,,,2022-07-26 13:57:37.904,-1.22176,-0.78661
,,,2022-07-26 13:57:38.403,-1.27197,-0.71967
,,,2022-07-26 13:57:38.902,-1.12134,-0.66946
,,,2022-07-26 13:57:39.403,-1.38912,-0.9205
,,,2022-07-26 13:57:39.903,-1.15481,-0.80335
,,,2022-07-26 13:57:40.404,-1.52301,-0.70293
,,,2022-07-26 13:57:40.903,-1.18828,-0.83682
,,,2022-07-26 13:57:41.404,-1.23849,-0.75314
,,,2022-07-26 13:57:41.904,-1.2887,-0.65272
,,,2022-07-26 13:57:42.403,-1.20502,-0.7364
,,,2022-07-26 13:57:42.903,-1.30544,-0.76987
,,,2022-07-26 13:57:43.403,-1.25523,-0.68619
,,,2022-07-26 13:57:43.903,-1.18828,-0.87029
,,,2022-07-26 13:57:44.403,-1.27197,-0.76987
,,,2022-07-26 13:57:44.903,-1.25523,-0.75314
,,,2022-07-26 13:57:45.404,-1.18828,-0.82008
,,,2022-07-26 13:57:45.903,-1.33891,-0.75314
,,,2022-07-26 13:57:46.403,-1.38912,-0.58577
,,,2022-07-26 13:57:46.903,-1.23849,-0.63598
,,,2022-07-26 13:57:47.403,-1.35565,-0.71967
,,,2022-07-26 13:57:47.903,-1.23849,-0.83682
,,,2022-07-26 13:57:48.404,-1.00418,-0.7364
,,,2022-07-26 13:57:48.903,-1.22176,-0.63598
,,,2022-07-26 13:57:49.402,-1.12134,-0.87029
,,,2022-07-26 13:57:49.903,-1.30544,-0.71967
,,,2022-07-26 13:57:50.402,-1.27197,-0.7364
,,,2022-07-26 13:57:50.903,-1.23849,-0.76987
,,,2022-07-26 13:57:51.403,-1.12134,-0.7364
,,,2022-07-26 13:57:51.904,-1.23849,-0.87029
,,,2022-07-26 13:57:52.403,-1.20502,-0.7364
,,,2022-07-26 13:57:52.903,-1.22176,-0.82008
,,,2022-07-26 13:57:53.404,-1.20502,-0.58577
,,,2022-07-26 13:57:53.903,-1.33891,-0.83682
,,,2022-07-26 13:57:54.403,-1.43933,-0.75314
,,,2022-07-26 13:57:54.902,-1.40586,-0.68619
,,,2022-07-26 13:57:55.403,-1.2887,-0.71967
,,,2022-07-26 13:57:55.904,-1.42259,-0.70293
,,,2022-07-26 13:57:56.403,-1.25523,-0.68619
,,,2022-07-26 13:57:56.903,-1.25523,-0.60251
,,,2022-07-26 13:57:57.403,-1.27197,-0.61925
,,,2022-07-26 13:57:57.903,-1.18828,-0.7364
,,,2022-07-26 13:57:58.403,-1.1046,-0.68619
,,,2022-07-26 13:57:58.904,-1.30544,-0.82008
,,,2022-07-26 13:57:59.403,-1.2887,-0.68619
,,,2022-07-26 13:57:59.902,-1.33891,-0.66946
,,,2022-07-26 13:58:00.402,-1.42259,-0.75314
,,,2022-07-26 13:58:00.903,-1.23849,-0.70293
,,,2022-07-26 13:58:01.404,-1.2887,-0.85356
,,,2022-07-26 13:58:01.903,-1.23849,-0.76987
,,,2022-07-26 13:58:02.404,-1.2887,-0.66946
,,,2022-07-26 13:58:02.903,-1.30544,-0.76987
,,,2022-07-26 13:58:03.404,-1.32218,-0.58577
,,,2022-07-26 13:58:03.903,-1.22176,-0.76987
,,,2022-07-26 13:58:04.403,-1.27197,-0.71967
,,,2022-07-26 13:58:04.903,-1.13808,-0.78661
,,,2022-07-26 13:58:05.404,-1.30544,-0.78661
,,,2022-07-26 13:58:05.902,-1.15481,-0.76987
,,,2022-07-26 13:58:06.403,-1.2887,-0.80335
,,,2022-07-26 13:58:06.903,-1.33891,-0.66946
,,,2022-07-26 13:58:07.403,-1.32218,-0.78661
,,,2022-07-26 13:58:07.903,-1.38912,-0.71967
,,,2022-07-26 13:58:08.404,-1.22176,-0.7364
,,,2022-07-26 13:58:08.902,-1.15481,-0.70293
,,,2022-07-26 13:58:09.402,-1.25523,-0.68619
,,,2022-07-26 13:58:09.902,-1.15481,-0.66946
,,,2022-07-26 13:58:10.402,-1.13808,-0.66946
,,,2022-07-26 13:58:10.904,-1.23849,-0.71967
,,,2022-07-26 13:58:11.403,-1.13808,-0.76987
,,,2022-07-26 13:58:11.905,-1.1046,-0.80335
,,,2022-07-26 13:58:12.403,-1.22176,-0.75314
,,,2022-07-26 13:58:12.904,-1.2887,-0.7364
,,,2022-07-26 13:58:13.403,-1.33891,-0.7364
,,,2022-07-26 13:58:13.902,-1.2887,-0.7364
,,,2022-07-26 13:58:14.404,-1.25523,-0.75314
,,,2022-07-26 13:58:14.903,-1.18828,-0.82008
,,,2022-07-26 13:58:15.402,-1.20502,-0.85356
,,,2022-07-26 13:58:15.902,-1.23849,-0.90377
,,,2022-07-26 13:58:16.403,-1.42259,-0.76987
,,,2022-07-26 13:58:16.904,-1.30544,-0.75314
,,,2022-07-26 13:58:17.403,-1.27197,-0.68619
,,,2022-07-26 13:58:17.903,-1.27197,-0.7364
,,,2022-07-26 13:58:18.404,-1.42259,-0.7364
,,,2022-07-26 13:58:18.903,-1.2887,-0.65272
,,,2022-07-26 13:58:19.403,-1.22176,-0.70293
,,,2022-07-26 13:58:19.903,-1.25523,-0.78661
,,,2022-07-26 13:58:20.403,-1.20502,-0.78661
,,,2022-07-26 13:58:20.904,-1.35565,-0.70293
,,,2022-07-26 13:58:21.403,-1.15481,-0.65272
,,,2022-07-26 13:58:21.903,-1.33891,-0.7364
,,,2022-07-26 13:58:22.403,-1.20502,-0.78661
,,,2022-07-26 13:58:22.903,-1.25523,-0.7364
,,,2022-07-26 13:58:23.403,-1.33891,-0.80335
,,,2022-07-26 13:58:23.903,-1.22176,-0.66946
,,,2022-07-26 13:58:24.403,-1.27197,-0.66946
,,,2022-07-26 13:58:24.903,-1.27197,-0.80335
,,,2022-07-26 13:58:25.403,-1.37238,-0.82008
,,,2022-07-26 13:58:25.905,-1.25523,-0.82008
,,,2022-07-26 13:58:26.403,-1.30544,-0.75314
,,,2022-07-26 13:58:26.904,-1.32218,-0.85356
,,,2022-07-26 13:58:27.402,-1.23849,-0.85356
,,,2022-07-26 13:58:27.903,-1.33891,-0.7364
,,,2022-07-26 13:58:28.403,-1.22176,-0.87029
,,,2022-07-26 13:58:28.903,-1.12134,-0.5523
,,,2022-07-26 13:58:29.403,-1.33891,-0.75314
,,,2022-07-26 13:58:29.904,-1.18828,-0.63598
,,,2022-07-26 13:58:30.403,-1.22176,-0.87029
,,,2022-07-26 13:58:30.904,-1.20502,-0.87029
,,,2022-07-26 13:58:31.403,-1.18828,-0.65272
,,,2022-07-26 13:58:31.903,-1.13808,-0.63598
,,,2022-07-26 13:58:32.403,-1.18828,-0.76987
,,,2022-07-26 13:58:32.903,-1.15481,-0.66946
,,,2022-07-26 13:58:33.404,-1.25523,-0.70293
,,,2022-07-26 13:58:33.903,-1.22176,-0.71967
,,,2022-07-26 13:58:34.404,-1.30544,-0.61925
,,,2022-07-26 13:58:34.903,-1.18828,-0.76987
,,,2022-07-26 13:58:35.403,-1.20502,-0.68619
,,,2022-07-26 13:58:35.903,-1.15481,-0.78661
,,,2022-07-26 13:58:36.403,-1.13808,-0.71967
,,,2022-07-26 13:58:36.903,-1.12134,-0.66946
,,,2022-07-26 13:58:37.402,-1.18828,-0.66946
,,,2022-07-26 13:58:37.903,-1.42259,-0.76987
,,,2022-07-26 13:58:38.403,-1.32218,-0.7364
,,,2022-07-26 13:58:38.903,-1.40586,-0.71967
,,,2022-07-26 13:58:39.403,-1.35565,-0.70293
,,,2022-07-26 13:58:39.902,-1.27197,-0.71967
,,,2022-07-26 13:58:40.403,-1.30544,-0.75314
,,,2022-07-26 13:58:40.904,-1.2887,-0.76987
,,,2022-07-26 13:58:41.411,-1.2887,-0.70293
,,,2022-07-26 13:58:41.904,-1.4728,-0.85356
,,,2022-07-26 13:58:42.404,-1.27197,-0.68619
,,,2022-07-26 13:58:42.903,-1.15481,-0.58577
,,,2022-07-26 13:58:43.403,-1.12134,-0.78661
,,,2022-07-26 13:58:43.903,-1.35565,-0.71967
