Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-08-08 13:54:42.142,-0.137,-0.045
Serial Number:,MY60101365,,2022-08-08 13:54:42.643,-0.127,-0.029
Firmware Version:,07.31.2020012900,,2022-08-08 13:54:43.142,-0.192,-0.016
Start Time:,2022-08-08 13:54:42.142,,2022-08-08 13:54:43.642,-0.168,-0.021
Stop Time:,2022-08-08 14:04:42.141,,2022-08-08 13:54:44.142,-0.101,-0.043
Sample Period:,0.5,,2022-08-08 13:54:44.643,-0.173,-0.055
,,,2022-08-08 13:54:45.142,-0.158,-0.014
,,,2022-08-08 13:54:45.642,-0.081,-0.046
,,,2022-08-08 13:54:46.143,-0.138,-0.033
,,,2022-08-08 13:54:46.643,-0.192,-0.024
,,,2022-08-08 13:54:47.143,-0.105,-0.056
,,,2022-08-08 13:54:47.643,-0.145,-0.019
,,,2022-08-08 13:54:48.144,-0.157,-0.031
,,,2022-08-08 13:54:48.643,-0.207,-0.036
,,,2022-08-08 13:54:49.143,-0.137,-0.014
,,,2022-08-08 13:54:49.642,-0.137,-0.016
,,,2022-08-08 13:54:50.142,-0.117,-0.019
,,,2022-08-08 13:54:50.642,-0.148,-0.033
,,,2022-08-08 13:54:51.142,-0.173,-0.04
,,,2022-08-08 13:54:51.643,-0.185,-0.016
,,,2022-08-08 13:54:52.143,-0.168,-0.036
,,,2022-08-08 13:54:52.643,-0.138,-0.04
,,,2022-08-08 13:54:53.142,-0.15,-0.026
,,,2022-08-08 13:54:53.643,-0.15,-0.038
,,,2022-08-08 13:54:54.143,-0.142,-0.019
,,,2022-08-08 13:54:54.641,-0.147,-0.021
,,,2022-08-08 13:54:55.142,-0.172,-0.029
,,,2022-08-08 13:54:55.642,-0.137,-0.019
,,,2022-08-08 13:54:56.142,-0.12,-0.033
,,,2022-08-08 13:54:56.642,-0.15,-0.023
,,,2022-08-08 13:54:57.143,-0.112,-0.021
,,,2022-08-08 13:54:57.643,-0.13,-0.009
,,,2022-08-08 13:54:58.141,-0.153,-0.021
,,,2022-08-08 13:54:58.641,-0.122,-0.028
,,,2022-08-08 13:54:59.141,-0.128,-0.023
,,,2022-08-08 13:54:59.642,-0.148,-0.035
,,,2022-08-08 13:55:00.142,-0.14,-0.04
,,,2022-08-08 13:55:00.643,-0.173,-0.04
,,,2022-08-08 13:55:01.144,-0.123,-0.014
,,,2022-08-08 13:55:01.642,-0.152,-0.019
,,,2022-08-08 13:55:02.143,-0.091,-0.021
,,,2022-08-08 13:55:02.643,-0.175,-0.021
,,,2022-08-08 13:55:03.142,-0.117,-0.019
,,,2022-08-08 13:55:03.642,-0.086,-0.019
,,,2022-08-08 13:55:04.142,-0.122,-0.028
,,,2022-08-08 13:55:04.642,-0.175,-0.053
,,,2022-08-08 13:55:05.142,-0.132,-0.009
,,,2022-08-08 13:55:05.641,-0.163,-0.019
,,,2022-08-08 13:55:06.142,-0.118,-0.021
,,,2022-08-08 13:55:06.642,-0.178,-0.016
,,,2022-08-08 13:55:07.142,-0.14,-0.043
,,,2022-08-08 13:55:07.642,-0.197,-0.018
,,,2022-08-08 13:55:08.143,-0.093,-0.008
,,,2022-08-08 13:55:08.642,-0.117,-0.026
,,,2022-08-08 13:55:09.143,-0.147,-0.024
,,,2022-08-08 13:55:09.642,-0.09,-0.008
,,,2022-08-08 13:55:10.142,-0.147,-0.035
,,,2022-08-08 13:55:10.644,-0.195,-0.036
,,,2022-08-08 13:55:11.143,-0.187,-0.014
,,,2022-08-08 13:55:11.641,-0.086,-0.014
,,,2022-08-08 13:55:12.141,-0.163,-0.056
,,,2022-08-08 13:55:12.641,-0.118,-0.014
,,,2022-08-08 13:55:13.141,-0.165,-0.055
,,,2022-08-08 13:55:13.641,-0.162,-0.031
,,,2022-08-08 13:55:14.141,-0.13,-0.024
,,,2022-08-08 13:55:14.642,-0.163,-0.013
,,,2022-08-08 13:55:15.143,-0.155,-0.045
,,,2022-08-08 13:55:15.643,-0.178,-0.031
,,,2022-08-08 13:55:16.142,-0.147,-0.024
,,,2022-08-08 13:55:16.643,-0.148,-0.013
,,,2022-08-08 13:55:17.143,-0.182,-0.05
,,,2022-08-08 13:55:17.642,-0.13,-0.04
,,,2022-08-08 13:55:18.143,-0.172,-0.031
,,,2022-08-08 13:55:18.644,-0.162,-0.04
,,,2022-08-08 13:55:19.142,-0.132,-0.013
,,,2022-08-08 13:55:19.642,-0.14,-0.05
,,,2022-08-08 13:55:20.142,-0.162,-0.024
,,,2022-08-08 13:55:20.642,-0.175,-0.051
,,,2022-08-08 13:55:21.143,-0.153,-0.045
,,,2022-08-08 13:55:21.642,-0.14,-0.008
,,,2022-08-08 13:55:22.143,-0.123,-0.033
,,,2022-08-08 13:55:22.642,-0.15,-0.026
,,,2022-08-08 13:55:23.142,-0.175,-0.038
,,,2022-08-08 13:55:23.643,-0.118,-0.016
,,,2022-08-08 13:55:24.142,-0.12,-0.029
,,,2022-08-08 13:55:24.642,-0.096,-0.009
,,,2022-08-08 13:55:25.143,-0.11,-0.046
,,,2022-08-08 13:55:25.642,-0.106,-0.038
,,,2022-08-08 13:55:26.143,-0.11,-0.031
,,,2022-08-08 13:55:26.643,-0.122,-0.031
